team,year,conference,off_rank,def_rank,wins,won
BAL,2000,AFC,14,1,12,1
NYG,2000,NFC,15,5,12,0
NE,2001,AFC,6,6,11,1
STL,2001,NFC,1,7,14,0
OAK,2002,AFC,2,6,11,0
TB,2002,NFC,18,1,12,1
NE,2003,AFC,12,1,14,1
CAR,2003,NFC,15,10,11,0
NE,2004,AFC,4,2,14,1
PHI,2004,NFC,8,2,13,0
PIT,2005,AFC,9,3,11,1
SEA,2005,NFC,1,7,13,0
IND,2006,AFC,2,23,12,1
CHI,2006,NFC,23,3,13,0
NE,2007,AFC,1,4,16,0
NYG,2007,NFC,14,17,10,1
PIT,2008,AFC,20,1,12,1
ARI,2008,NFC,3,28,9,0
IND,2009,AFC,7,8,14,0
NO,2009,NFC,13,1,20,1
PIT,2010,AFC,12,1,12,0
GB,2010,NFC,10,2,10,1
NE,2011,AFC,3,15,13,0
NYG,2011,NFC,9,25,9,1
BAL,2012,AFC,10,12,10,1
SF,2012,NFC,11,2,11,0
DEN,2013,AFC,1,22,13,0
SEA,2013,NFC,8,1,13,1
NE,2014,AFC,10,1,12,1
SEA,2014,NFC,4,8,12,0
DEN,2015,AFC,19,4,12,1
CAR,2015,NFC,1,6,15,0
NE,2016,AFC,3,1,14,1
ATL,2016,NFC,1,27,11,0
NE,2017,AFC,2,5,13,0
PHI,2017,NFC,3,4,13,1
NE,2018,AFC,4,7,11,1
LAR,2018,NFC,2,20,13,0
KC,2019,AFC,2,8,13,1
SF,2019,NFC,5,7,12,0
KC,2020,AFC,6,10,14,0
TB,2020,NFC,3,8,11,1
LAR,2021,NFC,7,15,12,1
CIN,2021,AFC,7,17,10,0
KC,2022,AFC,1,16,14,1
PHI,2022,NFC,3,8,14,0
KC,2023,AFC,15,2,11,1
SF,2023,NFC,3,3,12,0
KC,2024,AFC,15,4,15,0
PHI,2024,NFC,7,2,14,1
